Guild,win,loss,Total,Winrate (%)
Cruciata,13,6,19,68.4
Crusader Kings,90,148,238,37.8
Crusaders of the North,9,38,47,19.1
Crush,2,5,7,28.6
Crystal Icarus,0,9,9,0.0
Ctrl Alt Del Close Apps,1,4,5,20.0
CtrlAltDefeat,7,7,14,50.0
Cuayo,4,0,4,100.0
Culto,0,1,1,0.0
CuocSongVoThuong,0,2,2,0.0
Cut Throat,72,48,120,60.0
Czendicate,0,1,1,0.0
D E L E T E,0,1,1,0.0
D E M A S S,1,0,1,100.0
D E S T R A X,0,1,1,0.0
D O T E X A,0,1,1,0.0
D O double G,0,1,1,0.0
D R A W I N G,52,62,114,45.6
DA DOU SHI,0,4,4,0.0
DAFANSHU233,2,4,6,33.3
DAMAI BOLEH RIBUT BOLEH,0,3,3,0.0
DAMN,1,1,2,50.0
DAMOCLES,0,2,2,0.0
DARK EMPEROR,0,2,2,0.0
DARK KNIGHTz,1,1,2,50.0
DARK SUNN,2,16,18,11.1
DATAH,0,1,1,0.0
DAWN OF LIGHTS,0,5,5,0.0
DEATH PARADE,7,20,27,25.9
DEATH PIT,0,1,1,0.0
DEEEEEN,0,1,1,0.0
DEITIES,1,1,2,50.0
DELICIOUS IN DUNGEON,0,3,3,0.0
DEMONIC EMPIRE,12,24,36,33.3
DESTROYER GHOP GHOP,0,1,1,0.0
DFT8,0,1,1,0.0
DHR,0,3,3,0.0
DHS,0,2,2,0.0
DISORDERLY,0,1,1,0.0
DIU LUN 7 NEI,5,7,12,41.7
DIUKAMIE,2,2,4,50.0
DKPJ,3,1,4,75.0
DNS,19,27,46,41.3
DOJO,18,15,33,54.5
DOKKAEBI1,0,1,1,0.0
DOMO,0,1,1,0.0
DOSOMETHING IN THE GAME,0,3,3,0.0
DOVATSAMSET,8,3,11,72.7
DRACIN,0,12,12,0.0
DRAGONRIDER OF PERN,0,2,2,0.0
DRAKORIA,3,8,11,27.3
DREADLOCK,0,4,4,0.0
DRIFTERS UNITED,3,17,20,15.0
DST MAMBA,0,4,4,0.0
DUKDEKHERE,1,0,1,100.0
DXZ,0,1,1,0.0
D_MINGSSS,4,8,12,33.3
DalniVostok,0,1,1,0.0
