Guild,Kills,Deaths,Fame
-,1,6,128013
Bring ur Money,0,5,43578
VK Army,0,2,1040752
Death Clowns Society,0,1,0
-,8,4,790848
Sida pa ti,5,6,707898
Evil Kool Aid,34,23,13230202
IMORTAIS ACADEMY,0,2,822
True Gentleman,0,0,281189
Medium,26,19,3402839
Monkey Leaders,0,1,0
Heretic Network,4,6,113679
YOU_ARE_DEAD,6,16,5447402
I DieHard I,1,5,169335
N0T HUMAN,5,1,1593616
NoFreeThinkers,3,3,3591702
I M M I N E N T,0,0,816888
ThousandFists,2,2,16381
DARKM1GHT,1,14,14010217
Wanted PKS,120,27,39208952
Black Sun Reapers,2,1,254447
Lethal Warri0rs,0,0,115498
K-Pangas,6,9,578190
-,12,4,943677
AUR4,0,0,14098
-,3,1,30049
ENDANGERED,11,8,3372789
Treasure Tales,0,6,163909
GUNDOWOX SL,15,10,427438
-,0,0,2124
Elder Never Sleeep,4,1,366109
The Rugrats,0,3,780698
I M M I N E N T,0,2,403002
SEX and PVE,25,8,3438892
Anti Sociais,20,14,1253021
GGBR,0,2,0
KULDAUN,0,0,84721
Phantom Phoenix BR,0,0,35578
I DieHard I,6,3,267456
DOMUS ALBIONIS,0,4,45383
Legacy Corporation,0,2,30240
Rents Due,0,2,0
Double Six,0,4,4038
Bandoleros Returns,0,5,34277
Explore The World,3,4,966449
-,0,1,0
H U R S T,0,3,679655
24 - 7,0,2,81946
SIN PORCENTAJE,1,2,257531
-,0,1,45720
minoris pretii,41,26,25188831
