Guild,Kills,Deaths,Fame
1-Culto De La Luna Eclipsada-1,13,8,601711
Ice Fort,112,69,9242212
D E C L I N E,81,50,32093521
R 3 T I R E D,21,13,1830212
S L I C E D,2938,1823,1311965031
xChile,37,23,5687304
Girei,45,28,3570451
Resurgence OF King A,61,38,2811020
NO LOCK,80,50,9318218
La Orden del Fenix Gris,8,5,406273
Heroes Runicos,8,5,705355
Cyber Dragon infernal,32,20,981855
UKHU,8,5,614688
Flank,8,5,236339
Eternal Defiance,312,195,101924809
Upside,5481,3426,2013629608
pollagorda69,92,58,28280458
Assassins Legends,30,19,894662
IBNDI DayBreakLegion,11,7,718979
Core Roblox,99,63,28866137
In Nibol We Trust,11,7,1102822
Jonhnie Walker,11,7,1489344
YOU_ARE_DEAD,4780,3056,422789513
JAMAICA,64,41,11354326
REDD HOUNDS,70,45,3415732
headbutt,188,121,41407862
D A E M O N,225,145,47420700
Mystic Tecolothy,443,287,158365351
Cheer,634,414,171828695
P0choLandia,26,17,2020234
PlVAS,4619,3022,2047357111
The Skull Bearers,81,53,7096781
R3conecting,1301,853,503806862
EZG0TO,273,179,67313918
PENllS BLACK,129,85,30720723
Hitsquad,1209,797,383313198
D1SARRAY,50,33,9515320
H3rois da Tret4,767,508,63258199
Via Nocturna,137,91,15440190
Ministry Of Bandits,837,556,95526861
PRIME MODE,439,292,120550700
C o n g o,6,4,383707
V-2 ECONOMY,3,2,112742
LA CHICHA DE TU VIDA,3,2,288876
ILHA EPSTEIN,12,8,2297403
DOGHELL,6,4,147205
F I L H O S - D O - E D E N,3,2,510162
ATAKHAN,9,6,833414
AKASUKIII,3,2,149872
GaminJa king,3,2,315149
S7ven Seas,3,2,452692
Solid Blue,3,2,166176
Evil Monarch,3,2,195496
D z N,9,6,643512
Pure State,9,6,658944
CascaveI,3,2,361946
P-oRTuGaL,3,2,52704
Polaris Major,3,2,4651827
WhiteSnakes,3,2,43788
Los Farmsas,3,2,152146
Y_S,3,2,36954
Amishalom,6,4,251768
The Walking Dead_TWD,3,2,212035
iffures,6,4,699372
CACHORR0S,3,2,152137
CALIBER 50,3,2,193989
O Vale,3,2,26423
Morgana Fufus,3,2,598300
Lex Nummorum,3,2,216071
V I C T O R Y E,3,2,632414
Hideyoshi,9,6,1151584
V I A J E R O S,54,36,3082834
Lion of spirit,3,2,146973
SMIL3,3,2,92538
Turma du Bairro,3,2,1323421
CRD1404,3,2,157873
KISS KISS,3,2,159908
Sex and cap,3,2,415804
Sektor_Grinda,3,2,783374
Howling WolF30,3,2,219622
OnlyChads,329,220,69418648
Angry Apes,283,190,29009248
Let Me Gamble,46,31,16889531
Veni Vici,772,521,292560878
TAPITAS,115,78,27661052
Blood-_-Ravens,35,24,5049048
Covil Do Wolf,32,22,2427647
Bleeding Apes,13,9,1000543
xGuardianes del abismo,13,9,1025175
El indio solari,158,110,25991920
Epic Hobos,33,23,2029796
U D S,33,23,1883052
Contingent,1559,1099,689302778
IS0LAD0S,51,36,4262777
More GG boy,58,41,3350097
Eikonic,1260,892,310575786
OVER DISASTERS,90,64,7574724
HELLS KITCHEEN,143,102,5359302
Renegades of Fate,7,5,410269
Shadow garden NG,21,15,6204440
AAAAAAAAAAAAAAAAAAAAAAAAAAAhAh,7,5,1124276
osoblanco,7,5,93136
VELUM MORTIS,7,5,85676
II INMORTALITY II,21,15,1809588
iloveyoueyes,7,5,300102
CEIFADORES-DA-ALVORADA,130,93,5699001
Antiguos Guerreros Aztekas,25,18,3557561
De4d End,61,44,13502750
Atrasa Lado,140,101,34107249
THE ENJAMBRE,310,225,70204286
Mighty Claws,321,233,69090428
desavence,2731,1984,1161342824
shewma,22,16,654417
Die Edlen Krieger,26,19,1108589
IFures,5593,4091,2530104269
HALCON BLACK,49,36,4934333
The_WolfGang,19,14,684046
PARACETAM0L,179,132,45914640
V1ctory or Death,111,82,9661412
GOOD FELLASS,23,17,1336785
Error 404 Not Found,818,605,300647808
ll Forjadores Del Destino ll,54,40,4433767
No Lineales,27,20,1993991
Nirvana Calling,1343,996,522196921
R3MAST3RED,182,135,31571713
NEW G3N,502,373,220684930
H E L L C O R E,202,151,31444888
Obsidian Blades,262,196,21225950
The Plaga,362,271,97253150
Legion De Patos,20,15,5787026
M0NKEYS,12,9,1852105
UNERG,8,6,4409989
Avalon Gap,4,3,1163135
Urban Family,4,3,61949
Mercenarios Sin oficio,8,6,441405
E FOR EVERYONE,32,24,1636009
LosEspartans,8,6,1321477
Corveus,8,6,669484
INSTA KARMA,12,9,611684
Feel The Silence,8,6,521366
Albion War,8,6,941336
ViperkroN,8,6,512309
Onliners,20,15,1228049
HOSANA,20,15,395484
LC- Nueva Guardia,4,3,233907
Cuervos Del Mal,4,3,287072
44s,4,3,771536
Monkeando la Back,4,3,232695
TROPA DA BAGUNCA,4,3,221331
Ethernal Kodoku,16,12,1042084
picanha do lula,4,3,97384
1MARAUDERS1,4,3,480005
IDpsKidsIrl,4,3,347801
Los especiales,4,3,92639
Static Kings,8,6,677488
Chingen a su madre,4,3,786674
One-Day,413,310,70579044
Pressur3,1710,1287,726628009
Phoenix Rebels,289,218,60393478
Outrange,204,154,28148398
