Player,Guild,Wins,Losses,Total,Winrate_%
saymonjosu,Ministry Of Bandits,47,58,105,44.76
pipeloow,Mythix,47,60,107,43.93
StrikitOO,Gankers LetaLes,47,76,123,38.21
MariehRC,S L I C E D,47,80,127,37.01
18hades,DARKM1GHT,46,7,53,86.79
kternen,Curriculum Vitae,46,8,54,85.19
Norganonn,Curriculum Vitae,46,10,56,82.14
ElfaChina,Curriculum Vitae,46,12,58,79.31
Xh0rd,INTERDITS,46,15,61,75.41
Braegh,PlVAS,46,20,66,69.7
aduoduo,Cheer,46,20,66,69.7
AraujoGB,lnsanos por PVE,46,24,70,65.71
Away2You,Rogue Natives,46,28,74,62.16
TER13,Evil Gatitos,46,32,78,58.97
Mdeva,AO University,46,33,79,58.23
MisaelRTe,The Rugrats,46,33,79,58.23
Mega234f,The Rugrats,46,36,82,56.1
Jakcc,YOU_ARE_DEAD,46,37,83,55.42
Melsende,AO University,46,37,83,55.42
Yorshhh,Ministry Of Bandits,46,45,91,50.55
Kelwor,S L I C E D,46,46,92,50.0
ObeyTheBrave,Keybump,46,47,93,49.46
ASECINOperesoso,R E Q U 1 E M,46,52,98,46.94
Verass,lnsanos por PVE,46,60,106,43.4
PJLDibas,desavence,46,67,113,40.71
ELSungueta,S L I C E D,46,69,115,40.0
MonaMourXD,Lethal Warri0rs,46,89,135,34.07
Tkmiz,Curriculum Vitae,45,9,54,83.33
GLEACHECL,Curriculum Vitae,45,10,55,81.82
xMrDeco,F4RIA DIVINA,45,12,57,78.95
minidiaaaa,PlVAS,45,13,58,77.59
Daitza,Curriculum Vitae,45,15,60,75.0
EoVOXvida,lnsanos por PVE,45,17,62,72.58
GoodKchero,INTERDITS,45,22,67,67.16
Woopss,Evil Kool Aid,45,24,69,65.22
nianoko,Cheer,45,27,72,62.5
Kauakmv,Mao de Elastico,45,28,73,61.64
ShokoDeCono,INTERDITS,45,28,73,61.64
4p0Lo,GELO E TECO,45,29,74,60.81
KENSIL17,Evil Gatitos,45,29,74,60.81
Guizoba,lnsanos por PVE,45,30,75,60.0
TheMasterOfFight,AO University,45,30,75,60.0
Fernuka,The Rugrats,45,31,76,59.21
Onlko,Who is Lobitos,45,34,79,56.96
PinedoWR,lBlack Handl,45,35,80,56.25
Cr1Xzzz,Mono Con Navaja,45,37,82,54.88
MarkuzPrimuz,Rogue Natives,45,38,83,54.22
TAPOLEN,Outlimits,45,40,85,52.94
DAVID6MARTINEZ,Ministry Of Bandits,45,41,86,52.33
Kylis,Mythix,45,46,91,49.45
finapliix,Keybump,45,47,92,48.91
miun,B U R N I N,45,48,93,48.39
ElOgrix,NO HOLDING,45,67,112,40.18
Padahwonn,Contingent,45,69,114,39.47
NoobNeme,Gankers LetaLes,45,75,120,37.5
HeyShoe,Contingent,45,80,125,36.0
ninnin,DARKM1GHT,44,7,51,86.27
Sybys,DARKM1GHT,44,8,52,84.62
AkuAkuMetsu,Curriculum Vitae,44,9,53,83.02
SrMatt09,DARKM1GHT,44,10,54,81.48
miguelito45,Curriculum Vitae,44,15,59,74.58
NiltonAutopecas,Mao de Elastico,44,18,62,70.97
Panitas,Curriculum Vitae,44,18,62,70.97
DemonSSon,Mao de Elastico,44,20,64,68.75
Mota20,GELO E TECO,44,20,64,68.75
Tngybub5,Evil Kool Aid,44,20,64,68.75
Perfectti,Curriculum Vitae,44,22,66,66.67
InstantRegrett,Rogue Natives,44,24,68,64.71
XiChonLee,BlackSm0ke,44,24,68,64.71
DuqueLandel,GELO E TECO,44,26,70,62.86
GeanPierre,Llamitas Su Su sum,44,27,71,61.97
Threeoneone,Cheer,44,30,74,59.46
HorseOfParty,Mono Con Navaja,44,31,75,58.67
pollobelico,BlackSm0ke,44,31,75,58.67
Kriszxz,IFures,44,33,77,57.14
EstebanYuki,The Rugrats,44,35,79,55.7
Legomaniac5,AO University,44,35,79,55.7
kreiserg,Outlimits,44,35,79,55.7
Catadordeperras,Error 404 Not Found,44,39,83,53.01
KapitalXD,Evil AssassinsGreed,44,39,83,53.01
happycircle,Slammed,44,43,87,50.57
Smpl1,B U R N I N,44,48,92,47.83
FatherAndrew,Mythix,44,49,93,47.31
MateusM,desavence,44,51,95,46.32
alvmevalevg,Who is Lobitos,44,52,96,45.83
TubaH88,desavence,44,66,110,40.0
MOZKA999,Gankers LetaLes,44,76,120,36.67
FormerMilf,Keybump,44,79,123,35.77
Oskar0116,Free Beer,44,86,130,33.85
TheEnvyP,DARKM1GHT,43,8,51,84.31
Dvernof,PlVAS,43,9,52,82.69
Desabrigad0,PlVAS,43,11,54,79.63
calendariousado,lnsanos por PVE,43,12,55,78.18
JhonnGotti,Curriculum Vitae,43,20,63,68.25
Kauakmv,lnsanos por PVE,43,23,66,65.15
lordcdft,I M O R T A I S,43,23,66,65.15
Otaner18,The Rugrats,43,24,67,64.18
pongTangZ,Cheer,43,24,67,64.18
Verass,Mao de Elastico,43,26,69,62.32
SILKREM,Error 404 Not Found,43,30,73,58.9
strangse,Llamitas Su Su sum,43,31,74,58.11
noobslayer79,Slammed,43,33,76,56.58
Miauwa,Who is Lobitos,43,34,77,55.84
BECOMETHECHICKEN,Rogue Natives,43,37,80,53.75
Makiavelz,D I N O C O,43,42,85,50.59
Retigga13,Mythix,43,47,90,47.78
Tucachero777,D I N O C O,43,49,92,46.74
Angmarl,desavence,43,50,93,46.24
VivaChile,U Are My Profit,43,50,93,46.24
XESTINO,NO HOLDING,43,56,99,43.43
kratosKLD,R E Q U 1 E M,43,56,99,43.43
Maikelo,Lethal Warri0rs,43,58,101,42.57
ygdriart,I M O R T A I S,43,61,104,41.35
M3lly,Contingent,43,79,122,35.25
Noezera,Leite Engage,43,124,167,25.75
edualbiononline,PlVAS,42,7,49,85.71
Flokka,PlVAS,42,8,50,84.0
VershTresPiernas,DARKM1GHT,42,10,52,80.77
Colotetuda,Curriculum Vitae,42,11,53,79.25
KngAngls,DARKM1GHT,42,11,53,79.25
Hamkes,PlVAS,42,13,55,76.36
KevinVJ,INTERDITS,42,15,57,73.68
Ntomas,PlVAS,42,15,57,73.68
Urico001,DARKM1GHT,42,18,60,70.0
Elcarlos02,Evil Kool Aid,42,20,62,67.74
TheWilliaam,Mono Con Navaja,42,20,62,67.74
lKenjil,GELO E TECO,42,21,63,66.67
FanFanLiafan,Life is game,42,23,65,64.62
Ccyberkat,Outlimits,42,24,66,63.64
SleepyCatBear,Cheer,42,24,66,63.64
FRANKLINPAZ,Who is Lobitos,42,26,68,61.76
Spaghooty,Evil Kool Aid,42,27,69,60.87
Barnnaar,Error 404 Not Found,42,28,70,60.0
BangziN,XNoMercy,42,31,73,57.53
SirDarylDixon,Mono Con Navaja,42,32,74,56.76
RaphaCosta,I M O R T A I S,42,33,75,56.0
Teddi,AO University,42,33,75,56.0
Yam1zinhu,S L I C E D,42,33,75,56.0
MQMQLaVaca,Who is Lobitos,42,34,76,55.26
Magintnt,Outlimits,42,34,76,55.26
murloka,Evil Kool Aid,42,34,76,55.26
Erfshake,AO University,42,37,79,53.16
Radianceeeeee,AO University,42,37,79,53.16
bacon6667,D I N O C O,42,38,80,52.5
NAIBAF12,Error 404 Not Found,42,39,81,51.85
LethalDosage,desavence,42,48,90,46.67
NobreLeitao,desavence,42,53,95,44.21
Mercyrilla,D I N O C O,42,57,99,42.42
lLouryenl,Gankers LetaLes,42,61,103,40.78
M0rtaDLa,Ministry Of Bandits,42,62,104,40.38
MateoDex,NO HOLDING,42,62,104,40.38
KaidenBreike,Lethal Warri0rs,42,66,108,38.89
Ryulan,Overprice,42,67,109,38.53
xFederick,Gankers LetaLes,42,70,112,37.5
XSaint,Free Beer,42,76,118,35.59
vipers430,Who is Lobitos,42,169,211,19.91
DrikaMatadera,F4RIA DIVINA,41,10,51,80.39
GU1NA,PlVAS,41,10,51,80.39
N3guita,PlVAS,41,10,51,80.39
Aresxbt,Evil Kool Aid,41,14,55,74.55
HOTWHLES,DARKM1GHT,41,18,59,69.49
JefryBouquets,OG BlackWater,41,23,64,64.06
Dilorenzo25,PlVAS,41,24,65,63.08
numberzero000,Rogue Natives,41,24,65,63.08
WD24,Cheer,41,25,66,62.12
DeezBigOLNuts,Evil Kool Aid,41,26,67,61.19
eki4t,GELO E TECO,41,26,67,61.19
lshiryul,IFures,41,26,67,61.19
ImRasec,The Rugrats,41,27,68,60.29
MurphyAKL,Victory or Valhalla - NA,41,28,69,59.42
Rod01,Curriculum Vitae,41,28,69,59.42
Yetzali,Who is Lobitos,41,28,69,59.42
sisiganzhu,Cheer,41,28,69,59.42
4Nika,PlVAS,41,30,71,57.75
parlanchaa,The Rugrats,41,30,71,57.75
EmyTky,XNoMercy,41,31,72,56.94
yYAGAI,I M O R T A I S,41,32,73,56.16
Smeesmum,Victory or Valhalla - NA,41,33,74,55.41
Xhvx,Evil Gatitos,41,33,74,55.41
Tula8HHHHD,Mono Con Navaja,41,34,75,54.67
Zeitlich,Outlimits,41,34,75,54.67
SrLeon30,Who is Lobitos,41,35,76,53.95
loluuuu,WH4TS4PP,41,36,77,53.25
Iskander21,Slammed,41,37,78,52.56
RgSuperKing,Who is Lobitos,41,38,79,51.9
thundercheeks69,AO University,41,39,80,51.25
DARKINMT7,desavence,41,46,87,47.13
GivisTrigo,I M O R T A I S,41,47,88,46.59
SorrySorrySorry,KR SEED,41,47,88,46.59
TheRealEilish,Contingent,41,50,91,45.05
PitufodeuS,Evil Kool Aid,41,52,93,44.09
DressyPuppy,Keybump,41,53,94,43.62
aaToTaa,KR SEED,41,53,94,43.62
Nokternul,Mythix,41,57,98,41.84
ILoveLP2,lBlack Handl,41,60,101,40.59
Zaurakk,Unslave,41,68,109,37.61
Kanesito,INTERDITS,40,11,51,78.43
ThQzin,PlVAS,40,11,51,78.43
IIYOYOII,PlVAS,40,12,52,76.92
Shiiwa,PlVAS,40,14,54,74.07
Fel1city,Evil Kool Aid,40,16,56,71.43
iNissin,PlVAS,40,16,56,71.43
Menezes55,F4RIA DIVINA,40,17,57,70.18
Chann77Yackie,PlVAS,40,18,58,68.97
Mrprego,PlVAS,40,18,58,68.97
PiolinXp,Error 404 Not Found,40,20,60,66.67
SaryFennes,Ministry Of Bandits,40,24,64,62.5
