Guild,Kills,Deaths,Fame
Vongola-Family,0,13,2928671
giant panda,0,2,1167634
Palegrin,0,0,71279
Purity,5,4,309284
-,0,1,0
Verity,16,4,464630
OompaLoompas,0,1,29835
Royal Clowns,0,0,9883
Ebanfall,0,1,0
Papaoutai,3,14,13441950
S A N I T Y,1,6,1034539
Polska Gildia,64,16,10500256
Trillion,0,1,21818
Lumen,1,4,7347
Anatolian Rebels,0,0,169526
S A Y G I,0,0,253586
-,0,1,39071
Chaos Terror,0,4,176467
CapiMastri,0,2,25047
Golden Monarchs,27,6,2057229
Obsidians,0,2,4148
ICeDRAgonS,0,1,0
Faith And Steel,0,6,295627
Valhalla,0,1,0
We Craft,1,1,13548
-,0,2,65753
Vongola-Family,14,8,1666378
-,2,1,83215
NO MONEY NO TALK,3,4,40770
GAGARAGOGO,0,0,10545
-,0,1,0
cocorrico,6,13,1303556
S W A M P,7,6,530256
-,0,1,0
A-T-L-A-S,0,1,63882
R I V A L,4,1,38570
-,0,1,0
-,1,1,136161
LAST LEGI0N,1,6,265334
BACKSTAB CO,1,10,952290
Heralds of Valhalla,117,25,16463042
Fates Keepers,0,0,68016
Y a g a,0,6,143022
-,0,1,0
GreatMing,6,2,919677
-,0,5,235314
Tai Chi_YUN GU,4,2,136217
Dokodo,3,0,43434
E H O T,13,16,3843131
POURFENDEURS,0,3,0
Palegrin,1,8,1987713
BERSERKION ACADEMY,0,0,4678
-,0,3,45530
BLACK SPIKEE,0,1,0
Top Squad,6,32,4882677
Pure Familia,9,14,2798617
Les Walapes,0,2,49323
-,0,1,4746
CK_KPSS,0,1,0
alexsiz,0,1,0
FutuRama,1,0,14941
StaVroS,1,10,101998
Bandidos del lag,0,1,12950
ThetfordMerchants,7,11,699223
EQMS,0,1,0
Revensong,0,2,0
Verity,0,0,54623
Sons of Ultima,1,2,37150
Straw Hat Pirates,1,5,89315
-,0,0,4756
Anatolian Rebels,2,1,32913
-,0,0,23152
The Impalers,0,1,0
-,0,0,155652
Noxus,0,1,58918
Bandits,2,1,12896
THE BEARS TAVERN,0,2,3621
-,0,1,0
Dragon King,0,2,0
UNH0LY,0,8,2586297
-,0,1,0
Obsidians,0,1,0
Anima Bellum,33,27,6038879
Obsidians,0,2,4148
WHY NOT,29,23,3251669
GAGARAGOGO,0,1,39054
I M P E R I V M,0,1,35805
420enjoyer,0,1,0
Penalti para el Real Madrid,0,0,28496
QQW998,6,2,161928
-,0,1,2628
Critical,0,2,735544
EBENGRAD,0,14,570967
-,2,6,162396
S E N G O K U,0,4,12026
Pratele Hranateho Stolu,2,1,646687
III Legion,0,0,1145
giant panda,0,1,621443
-,0,3,0
Rise Of Dahalo,0,2,0
Raptors X,0,1,0
Never Mind,3,5,167274
Arise of Turks,0,3,66379
LET IT HAPP3N,0,1,0
-,0,0,7790
Bybonna9 4yma,4,4,75688
Black Sky,0,2,27539
EU Federation,3,9,2170849
-,0,0,68711
Krazai,0,1,5876
-,2,1,46860
Silverwolf_Legion,1,5,112174
Frostborne,3,13,1032296
Unbound,1,1,481567
Vikings,21,12,2590493
BDU,0,2,49996
LiMing,26,59,3787481
PivnoiGhoul,0,0,14738
FOR SOLO PLAYERS NO TAX,0,3,0
Kzl Elma,1,3,120687
FOREST NEST,1,6,97677
-,0,1,88181
Sanctuary,0,1,102276
Mercenary Idman Yurdu,3,4,232948
MORIERIS,5,5,180238
Heralds of Valhalla,0,2,347230
Lemon Girls,1,1,412425
Bandits,3,5,357445
-,0,0,4301
THE BEARS TAVERN,0,1,0
Y a g a,5,16,682006
Storm Reign,0,2,38060
Player1,0,4,189694
Pratele Hranateho Stolu,48,32,8199924
-,0,2,0
Mata Gabachos,0,0,34831
Palegrin,0,3,365982
SHAGGAS,0,2,1718
-,0,1,0
-,0,0,3876
GooglyMoogly Festival,1,1,21624
Rage Courage,0,6,0
Sanctuary,36,14,4662426
-,9,2,535578
Pure Crimson,0,2,68670
HZG,0,3,0
WAY OF THE SUN,0,2,0
GUARDIAN WOLF,8,2,450032
Vongola-Family,15,17,3883686
IKUN,0,0,141188
Lootiiiing,0,0,98368
iMoYu,0,0,54164
-,0,2,50970
Ridniy Kray,34,5,5531009
giant panda,0,2,869495
Vongola-Family,2,22,4306846
Noxus,9,24,2606727
HELL BRANCH TURKEY,16,27,379587
Wrong Ways,11,9,4148594
Spider Legs,6,3,635588
Pyramid Scheme,71,35,10458114
HATSUNIZM,4,3,219424
Carpet,0,0,11953
Elusive Avengers,0,1,5029
-,0,2,13422
WATCHDEMO,0,1,2220099
Squirtle Squad,0,1,128108
TONGKRONGAN,9,7,1116150
-,5,6,677309
ZhiWu Club,2,3,368052
-,0,1,14604
HeadButt,10,20,10979778
Y O I N K,2,3,670874
T R I D E N T,10,6,3454331
S W W,0,0,12226
LAZARET,0,5,103611
-,0,4,158796
-,0,2,0
TEAM BLAST,0,2,357618
Canibals,0,1,3235
NoTag,0,3,0
S E N G O K U,0,2,21187
B_E_A_R_S,0,4,17590
-,2,6,178244
E H O T,2,11,2985850
A-T-L-A-S,2,3,1846261
Heralds of Valhalla,27,14,13467939
Leniwye zaby,0,1,0
EBENGRAD,1,1,350881
-,0,1,0
Lucky,7,6,767918
-,4,2,448767
-,1,5,94234
BARAYA,12,1,877331
SaveMee,8,6,1023993
Utopia,1,15,2609373
Right Side,1,2,210029
CRISGUN,0,2,3363
Polska Gildia,1,1,259426
CRISGUN,0,15,381344
EQMS,3,4,4121637
-,0,2,0
-,0,0,2880
Disconnect,1,2,838810
Tous Ensemble,0,6,3323808
Burzyny,0,6,615982
Lemon Girls,13,32,12103383
morskoibriz,0,2,135874
-,0,0,222219
LiMing,4,0,216393
Eternal Hunt,0,2,3325
LET IT HAPP3N,2,0,1088125
Laughin Coffins,3,2,1910524
HakocukaCykaCeHa,0,0,1401
-,0,2,783556
Saggin,5,3,1135969
-,15,4,1721893
The Madman Brothers,14,1,492616
Gank Banks,25,9,2007206
Soul-Side,0,1,160981
Twinkling at dawn,1,2,77994
-,0,1,0
GreatMing,3,0,35383
Ragnar0k,0,1,0
BeBeBus,0,1,13493
-,0,1,0
CO-CK RIDERS,0,2,0
-,0,0,44841
Pyramid Scheme,0,4,191009
-,0,0,35383
FBl,0,1,87998
Top Squad,18,5,1862392
EU Federation,2,15,4410954
Heralds of Valhalla,19,20,15306029
Vongola-Family,6,16,5401897
giant panda,0,1,483910
-,0,1,31576
Stone Ocean,0,1,570093
Vongola-Family,0,1,58820
giant panda,4,5,1259126
Vongola-Family,3,9,2604455
-,0,1,195692
Vongola-Family,1,2,838359
NO BB,4,10,2570550
BiPoLar,0,1,83267
-,0,1,97386
Vongola-Family,24,45,9492581
IKUN,0,6,524967
iMoYu,0,0,54164
Lootiiiing,0,1,0
EQMS,1,6,832927
Revolut,0,1,0
PANTHE0N,0,2,0
CottonManufactors,0,1,0
Heralds of Kebab,32,20,9883491
League of Victory,8,4,201109
Orden Hospitalaria,0,7,67919
La Confrerie du Canape,2,0,53280
Wolf Family,1,5,57492
V I P,0,7,151413
TIE UN TIGRE,0,1,0
-,26,0,3020490
-,0,2,0
-,4,1,334885
Purity,4,2,2744452
Verity,0,1,1231463
Skorpiony Zniszczenia,5,16,3326928
-,0,2,0
YANGE,0,1,152705
-,0,1,25600
miners cats two,0,0,39451
KLICK AREA,0,0,14465
Masters of Albion,0,1,123091
3blan,2,1,135827
Burzyny,34,13,6499595
OBW Przyjaciele,5,2,518569
Vongola-Family,41,52,8913752
-,4,2,582960
KABYH,6,11,1058545
Ashbound,0,1,405963
S A Y G I,0,1,0
obroncy cnot,1,2,402295
Fire On The Pistons,3,1,1545863
CRYHARDER,3,2,248693
Glorify,3,1,12044
White DRAGONS,1,2,48445
Shattered Grace,0,0,29684
kfir,0,1,0
COSMOTE,11,4,414557
Critical,0,2,2835416
UNH0LY,13,5,1503359
-,0,1,0
Bezumnyy Legion,1,1,22120
IRON REQUIEM,0,1,69116
BARBARLAR,0,1,41312
Last Warning,4,4,948119
Black Sentinels,0,5,169587
-,0,0,49907
JOURNEY TOGETHER,30,8,5735878
-,0,1,0
Skoggangr,60,24,27409312
Contingent,0,0,97108
Skoggangr,2,5,1913767
