Guild,Kills,Deaths,Fame
Papaoutai,1,2,455571
-,0,1,133312
Top Squad,0,1,0
-,0,1,0
NO BB,0,0,8828
Top Squad,4,9,1099823
Vongola-Family,0,2,394590
Heralds of Valhalla,45,18,9677541
Heralds of Kebab,26,2,3111964
E H O T,0,2,316628
Vongola-Family,5,19,5859758
Vongola-Family,2,4,1030899
Vongola-Family,22,16,7997438
Vongola-Family,2,7,2924981
Vongola-Family,26,54,14596722
sakura,0,2,0
BeBeBus,0,1,39504
-,0,1,0
Vongola-Family,1,2,32762
Oathblade,1,2,21585
iMoYu,0,0,79423
EQMS,5,42,14156643
-,0,2,0
PANTHE0N,0,0,54733
Heralds of Kebab,4,10,2639502
Heralds of Valhalla,15,16,3707467
League of Victory,0,5,2100
Echoes of Sovngarde,0,3,0
-,0,2,0
S W A P,7,8,423367
Satis Faction,0,1,0
-,2,1,210681
-,1,3,12590
La baraque a frite,1,4,22436
-,0,1,0
-,15,3,812052
Purity,6,8,3780166
Legion-PL,0,2,9636
-,0,1,0
Skorpiony Zniszczenia,4,4,2226781
Pratele Hranateho Stolu,2,1,397669
KLICK AREA,0,4,22792
The Highlanders Tavern,0,1,2364
-,0,1,0
The sleeping king,0,1,0
-,0,0,9947
UniteToFight,1,0,100192
Purity,10,4,1990149
3blan,8,1,531287
Verity,6,6,999046
Burzyny,15,3,1753080
Cwaniacy,7,21,5129280
Vongola-Family,28,66,17542553
WarTag UA,1,7,643719
KABYH,1,1,300334
Response,0,2,265294
-,0,2,144408
PSA,0,1,0
Cwaniacy,0,2,77117
S A Y G I,0,1,0
Fire On The Pistons,7,6,940663
CoalitionTBH,1,1,34404
-,0,1,0
Saggin,20,13,5668640
Critical,31,15,7540355
-,3,4,315928
Slacking Dogs,0,2,27371
-,0,1,0
Black Sentinels,1,6,94900
WarTag UA,1,4,602590
JOURNEY TOGETHER,66,12,13967713
League of Glory,3,8,60215
GoldenHeart,2,3,239265
-,0,1,10076
TEAM SUPREMACY,1,7,490728
Krakens Embrace,0,1,0
Kingdom Of Georgia,1,7,467730
Skoggangr,160,33,33163412
Skoggangr,0,3,1207740
One Piecee,10,2,837974
-,0,1,0
KATANA-XS,2,1,58829
Red_Is_Dead,1,4,69813
S A Y G I,0,1,0
THE ARTISTS,0,2,0
El Barril Borracho,0,1,0
Arab Lions,1,5,138160
Heralds of Valhalla,58,26,20860906
DevilsCape,27,24,1484072
AFTERMATH,1,1,371237
TitikKumpul,0,2,0
Shadow Garden Army,3,1,92099
The Golden Dragon,0,8,251142
Orden Hospitalaria,2,15,887141
the best this game 2,1,1,223789
Golden Seekers,3,3,69779
Bingchilling,2,9,4060874
Crimson Hawks,1,0,5229
Crimson Hawks,1,1,27132
ZAUA,1,1,284867
BestattungsGmbH,19,6,1498982
nononon,1,0,1176847
Pentacle,0,2,47067
HORROCRUX,0,1,0
IDF,0,0,1621
-,0,1,0
DRAGON KINGs,0,1,0
Shattered Grace,1,5,101115
DeaI OR DIE,0,2,28024
-,0,1,10359
Cappuccino Assassino,11,22,3023191
E H O T,11,11,3691319
Syntax,3,1,1732668
Jambon et Dragons,7,12,3405854
-,1,3,38370
Micar,1,9,116929
Limit-Breakers Familia,0,1,336124
R A I N,0,1,0
Critical,1,5,922094
Kal Vas Flam,11,12,547735
-,0,1,642
D R A U G R,0,0,615912
Inglorious Bastrds,26,18,7206943
S O V E R E I G N,0,2,527718
Butaneros Avalonicos,0,1,0
-,0,1,0
The Trix,15,6,5342436
KICKFLIP,1,2,1279683
EU Federation,0,3,862989
-,0,0,25406
Polska Gildia,5,12,3467984
Straight Outta Balkans,0,1,0
Black Sentinels,10,18,3016095
-,2,2,65872
Aspiradoras Anorejicas,3,4,106950
CringeLords,0,0,9981
-,0,1,36565
-,0,1,0
White Beard,2,11,107551
XBOX RU,0,1,8774
inwalidzi,5,1,1155396
E L I T E,0,1,0
Impalers,1,5,147274
Maly Gang,1,2,128053
VANTABLACK,0,1,1382
Artistic Dwarves,0,1,0
Modest Circle,0,2,857984
Sanguis Draconis,1,2,7672
Ferrin,17,11,1148324
Skellige,4,1,254473
opie go0pie,3,3,1207027
K F C,0,5,2535609
-,0,1,0
Domalingo,22,20,3070143
Blood Tax,0,1,0
M 1 S F I T S,3,3,1363633
Blood And Tears,0,1,329191
Legio Potens,0,1,5160
Ping My Enemy,0,6,1350645
Unforg1ven,0,0,19409
Lost Shadows,0,0,424
FACTUM,25,17,1901022
-,1,4,45316
WarTag UA,0,1,162524
DIABLOS NEGROS,2,0,65996
THUGS-TR,1,0,94545
-,0,5,12292
DoslarKirathanesi,0,1,2480
Make Turks Great Again,0,3,873212
Awe Of She,1,2,355177
-,0,1,0
War beavers,0,1,0
REFAKERITOS,0,0,65423
-,3,4,770868
A K U M A,17,4,2245867
Devoted Bears,0,1,0
Faze,3,1,101763
-,0,0,19149
Storm Reign,0,1,0
A T L A N T I S,0,2,11129
Ping My Enemy,0,1,0
-,0,1,0
Clean Kill,39,34,20524317
FROSTSURGE,1,1,19483
Savants,2,0,149095
S A N I T Y,0,1,523516
Press The Buttons,3,1,467410
Almas Agrias,1,2,149917
StarGateX,0,1,31202
Palegrin,7,2,367410
Alpagut TR,1,0,506296
WHY NOT,4,0,719803
Ferrin,1,0,27189
Burzyny,3,1,1504462
Cwaniacy,0,5,1222022
s t e p b a c k,2,5,1122272
Nuisance,7,3,349943
MISS CLICK,0,0,11449
DigHAUHAU1000,7,5,3512117
-,0,2,0
Frostborne,0,2,0
S O V E R E I G N,1,1,161057
Killer Trolls,0,1,1956
-,0,0,4187
Movimento Liberazione Albilon,6,17,212624
Royal Clowns,1,1,50356
Storm Reign,4,7,520633
-,0,0,2722
League of Victory,0,2,2100
-,0,1,0
M3R Company,1,0,279392
Order Hunters,1,1,286655
XXX Company,0,1,215688
Anatolian Rebels,0,0,11036
Bingchilling,30,13,5069557
-,0,0,37988
Cappuccino Assassino,0,3,81618
WNY N0T,3,0,772118
WHY NOT,16,6,1649008
JOURNEY TOGETHER,0,1,27843
Pay2Cry,1,4,24699
Turquoise,1,0,78575
Russian fighters,0,1,37018
-,2,6,580561
Costa,0,2,29529
Pure Crimson,0,1,0
VL_arestants,0,0,5346
AFTERMATH,2,2,501457
BLADE2FACE,0,2,0
Heralds of Valhalla,0,4,701278
SURRENDER,0,0,830244
Purity,1,3,476522
Verity,0,1,523664
-,2,2,198143
Kurd Boys,1,3,260552
Wyvern Crusaders,0,1,1580
Treasure Map,2,6,866072
We Care 4u,0,3,21839
-,0,2,136366
-,0,0,2092
NIGIDI NAGO,0,0,549816
ClownsEXE,0,1,73952
Vongola-Family,10,19,2645363
EU Federation,19,16,2068133
Blood Tax,0,1,0
Hol die Axt,0,1,0
Mroczna Armia,21,17,1465220
-,3,3,68666
E L I T E,16,12,2721537
Pure Crimson,1,2,415991
-,0,2,5880
Critical,1,20,3411107
Orden Hospitalaria,17,7,543187
SIBERIA,1,0,9561
The Woo,2,0,728307
M 1 S F I T S,0,1,49206
-,0,0,3240
Anchored,54,29,10185639
Desine et Morieris,6,5,1892840
L Imperium De l Humanite,0,1,0
LET IT HAPP3N,0,0,8233
Silent War,0,3,0
-,0,0,2567
Quinto Imperio,1,2,18036
E R E B 0 R,0,2,0
-,0,2,5609
Highdale,0,2,0
REFAKERITOS,0,1,65423
AWHAM,6,12,301892
Pyramid Scheme,0,15,5874629
-,0,1,0
BestattungsGmbH,0,3,384926
DEADWOOD,1,1,87075
Expedition 60,1,4,43605
All Saints,0,1,0
E L I T E,6,6,1786932
Cwaniacy,34,15,5600626
YANGE,4,1,1739627
Oops We Wipe,0,3,186146
Anatolian Rebels,0,2,0
