Guild,Kills,Deaths,Fame
Damnificatia,74,221,7095206
Cwazy,228,222,42228758
El Barril Borracho,93,262,28831433
Zero Logic,125,143,13778373
FBI,320,188,35979555
O N L I N E,98,239,7766299
Une Tradi SVP,233,92,78341848
IX Kohorta,266,241,24959070
Killer Trolls,138,187,12729735
Glorify,190,208,19247746
GachiBang,123,286,17313867
Golden Monarchs,156,158,34497045
Balkan Legion,255,229,24741819
Pure Crimson,95,243,16646681
Swords Drawn,109,229,13167084
La Horde Sylvestre,177,236,13200991
Night-Reapers,122,144,28388528
Grey Knights,440,185,48460504
Dutch Chaos,173,172,32020130
HeadButt,202,130,62407848
Kal Vas Flam,283,238,16797285
Antipositive,210,156,40692947
D R A U G R,132,92,37474294
BLACK-BOAR,162,264,23856276
TONGKRONGAN,81,70,13163019
THE BEARS TAVERN,57,206,11831343
Skrzynkobiorcy z Prowizja,186,211,19895436
P E R M A V2,150,259,51861448
4SAN,124,85,20820572
proud ducks,203,213,17312212
xCode,48,221,7827822
FAMILIA ES TODO,398,192,27615824
Mroczna Armia,189,105,15588175
Cappuccino Assassino,76,233,11658902
ACAB,142,309,13017547
Frontline Division,95,112,19153585
Purity,118,132,37693905
THE HANGRY HIPPOS,348,184,15251459
Take a Break,97,215,10914043
Astra Ignis,65,198,8552531
FROSTSURGE,195,170,38389163
Bloods Legion,350,87,18553026
M O R G U E,274,128,81730974
Gachi Club,71,238,22204937
BattleStar Galactica,146,149,12390022
Priority,75,148,15887460
Gatherers Tears,262,194,16691830
Black Legion,143,170,11386653
Sanguis Draconis,87,156,10621838
Generally Speaking,109,220,20058596
Gabao,59,208,4749497
Login Horizont,109,145,16354404
Millennialis,175,181,28944998
Freebooters,244,114,16452196
Grimgar - Aventuras y Fantasia,106,179,13356147
Legion der Verdammten,74,122,9550088
The Hundred,87,140,19227774
iceCold Crew,61,193,7828223
BLYAT STORM,108,179,19503288
GODSMACK,105,185,16715233
The Buisness,194,141,12911966
LiMing,220,164,18525454
DaraVur,202,58,19768955
Elisium,55,249,5900142
Honey Pie,61,169,6170617
TENSAY,84,71,21479010
Guerriers de Fer,122,97,13011737
P A R A D 0 X,73,146,11257814
I M P E R I V M,98,142,9766609
ZombieSquad,67,175,6134368
M3R Company,231,109,27935393
EWENEMENT,116,304,8093283
Last Way,82,161,15036291
Eternal,147,50,14647058
JonTurks,273,172,16463241
NoTag,108,242,5580920
Bollwerk,113,171,9461463
Fall,157,202,21812451
Blood Monkey,87,186,7983793
Greek Hopletes,107,148,9510324
Billionaires,79,129,12807943
Legions of Angels,93,120,10249155
Grods,204,73,38153722
Wild Instinct,135,204,11913418
Saggin,117,103,31338950
Revensong,118,103,29139087
We Craft,127,147,11579492
Over Gear,158,128,10378110
Sangreal,39,156,3640726
LELEKA,163,137,14881365
SENGOKU PRIME,99,198,9956559
Economic boars,92,124,16559382
Empirium League,76,154,10465338
Gank Banks,95,126,10438840
EuroHunter,67,170,24767044
NO META,93,68,19042616
chtulhu,78,118,5143956
F R E A K S,66,103,13615395
S A Y G I,101,161,6579712
Elevat1on,70,103,17327871
Solea,77,125,25528240
Deporte en Porte,179,38,24893525
Prosektorium,176,148,37675926
The Night,92,154,7613434
OxyGeNN,161,167,11135859
Revenant Requiem,173,91,16697173
Dark Aesir,64,145,5568852
Thetford Social Club,119,129,4410759
V I N D I C T A,52,120,14898709
The Hope,79,126,10483662
TrustBound,89,171,4408666
EBENGRAD,79,179,7056845
HEREDEROS LEGACY,82,50,35013032
s t e p b a c k,159,97,10189167
Rhaegal,32,42,7312506
Orbis,118,92,7458996
SEND IT,150,90,14668856
SUB7,110,71,22358285
La Compagnie du Lys,55,120,3299837
Escuadron Suicida,58,134,4550100
