Guild,win,loss,Total,Winrate (%)
Y-A-M-A-H-A,0,1,1,0.0
YAKUZA_G,3,15,18,16.7
YOU ARE LOOT,44,63,107,41.1
YOUNG - PLAYER,4,16,20,20.0
YOU_ARE_DEAD,450,349,799,56.3
YOWAIMO,0,1,1,0.0
YTNoragamiYT,0,2,2,0.0
YUNc,0,1,1,0.0
YZ main,2,1,3,66.7
Ya Te La Sabes Mamon,0,1,1,0.0
YaKcheYa,23,24,47,48.9
Yami no Kishi,0,5,5,0.0
Yanami,1,5,6,16.7
YeetDynasty,1,2,3,33.3
Yeguas avalonianas,55,73,128,43.0
Yellow River Boys,1,2,3,33.3
Yihad,1,8,9,11.1
YingYangTCC,1,13,14,7.1
Yo Mom Dyntka,1,3,4,25.0
Yotaze 06,3,9,12,25.0
You Okay,20,39,59,33.9
Your Iast Breath,13,9,22,59.1
Your_Bunny_Wrote,0,1,1,0.0
Yowsito Family,1,2,3,33.3
YronSide,9,32,41,22.0
YuReM,0,1,1,0.0
Yupilandiaa,0,2,2,0.0
Z 0 N E,16,25,41,39.0
Z 3 R 0,1,0,1,100.0
Z A M U R A I,4,6,10,40.0
Z I O N,1,0,1,100.0
Z1GROM_PL,0,1,1,0.0
Z3L4D4CL4N,1,5,6,16.7
ZADONW,1,3,4,25.0
ZAGORI,0,4,4,0.0
ZATORI,0,1,1,0.0
ZEFIRO,0,1,1,0.0
ZELS,0,1,1,0.0
ZKT1,0,2,2,0.0
ZMZZL,6,0,6,100.0
ZT LOVE,2,0,2,100.0
ZZZ Y ASOCIADOS,0,1,1,0.0
ZZaguilarZZ,1,1,2,50.0
Z_WARRIORS,2,1,3,66.7
Ze Ruelas,0,1,1,0.0
Zer0 Prof1t,0,5,5,0.0
Zerg Incoming,5,10,15,33.3
Zero Consequences,0,1,1,0.0
Zero X,0,1,1,0.0
Zero-Time,3,8,11,27.3
Zeruda no Densetsu,0,1,1,0.0
Zha-think,0,1,1,0.0
Zhongji Gangtie Xia,0,3,3,0.0
ZimZomZoom,1,8,9,11.1
ZoEiRa Br,0,2,2,0.0
ZolDycKx,0,1,1,0.0
ZoldyckHaki,0,1,1,0.0
Zoltrak,1,8,9,11.1
Zone X,2,13,15,13.3
Zonebreakers,0,1,1,0.0
Zukaritas,12,19,31,38.7
Zwart Vuur,0,1,1,0.0
Zysas,1,0,1,100.0
Zz BLACK ICE zZ,0,2,2,0.0
ZzZLEGENDS,3,10,13,23.1
a Lo Humilde Pa,0,1,1,0.0
abababa,1,0,1,100.0
abisal,0,1,1,0.0
adios vv,0,6,6,0.0
agias,0,6,6,0.0
agreencultor,0,1,1,0.0
albion online master,0,2,2,0.0
alcosto,1,10,11,9.1
amoral,3,19,22,13.6
anarxia mati poryadka,0,2,2,0.0
andersojese,0,2,2,0.0
angel1lobo,0,3,3,0.0
angeles del olimpo,0,15,15,0.0
archero,0,1,1,0.0
asesinos de la luna,0,2,2,0.0
asesinos sin mascara0,0,1,1,0.0
ass destroyer,0,4,4,0.0
auraaaaaaaaaaaaaaaaaaaaaaaaaaa,4,1,5,80.0
aventureiros de lym,1,7,8,12.5
baby_yoda,1,0,1,100.0
bald brothers,1,1,2,50.0
baussolobolo,1,0,1,100.0
bayit,0,1,1,0.0
bibibubu,0,1,1,0.0
black-knights117,0,6,6,0.0
blackhooll,0,1,1,0.0
blood blood blood,0,1,1,0.0
bmb camera de gas,0,1,1,0.0
boars head tavern,5,23,28,17.9
brayanxd,0,1,1,0.0
bringz BoyZ to the yard,0,4,4,0.0
cCLTS eEXPLORADOS,0,1,1,0.0
caballeros hoscuros,0,1,1,0.0
caballeros oscuros II,1,0,1,100.0
cadets of antisocials,1,2,3,33.3
camera 34,0,1,1,0.0
caos y origen,2,1,3,66.7
casperblack,3,7,10,30.0
cazadores de recuersos,1,6,7,14.3
cazadores okre,0,1,1,0.0
cefiro,1,2,3,33.3
centuryon,1,0,1,100.0
cerdo cap corp,0,1,1,0.0
cheap builds enthusiasts,1,1,2,50.0
chepakillers,5,20,25,20.0
churejones,1,3,4,25.0
clan del viento,7,10,17,41.2
clan pochos,1,1,2,50.0
clubONLY,0,1,1,0.0
cobra throw,0,5,5,0.0
cobras renegadas,0,2,2,0.0
coletores sombriu,0,2,2,0.0
corronchos,0,1,1,0.0
coven of the crow,0,3,3,0.0
crazy7777,0,2,2,0.0
crimson bloodd,0,1,1,0.0
crisbelys,0,3,3,0.0
cucumelon,0,1,1,0.0
cuenta secundaria,1,1,2,50.0
cult of ash 2,1,4,5,20.0
culto a morgana,0,1,1,0.0
cz beat,0,3,3,0.0
de4th crows,0,1,1,0.0
degggrfd,0,1,1,0.0
demon piggs,1,0,1,100.0
demonxx,0,1,1,0.0
desavence,117,110,227,51.5
eTERNITY wARRIOR,10,8,18,55.6
el abismo de helm,1,2,3,33.3
el chero de 12,2,0,2,100.0
el clan de las bestias,0,1,1,0.0
el ejercito del orden,0,1,1,0.0
el pacto 0k 0k,0,2,2,0.0
el vnzl,0,5,5,0.0
eminences in the shadows,0,2,2,0.0
en Venezuela 1,3,3,6,50.0
entre-la-neblina,3,3,6,50.0
escuadrib pinter,1,0,1,100.0
escuadron salchicha,16,15,31,51.6
eternal legends 19,0,3,3,0.0
f-BarZini,15,31,46,32.6
fairy tail3,4,20,24,16.7
familia croods,1,2,3,33.3
far-MEX,0,1,1,0.0
farmers forever,0,1,1,0.0
farmsquad,0,1,1,0.0
fastdemoon,0,1,1,0.0
fear the depths,1,3,4,25.0
fecha as aba e firma,1,1,2,50.0
femboys hunters,0,3,3,0.0
femboys perukistanos,0,1,1,0.0
figueiramal2,2,11,13,15.4
forever33,0,2,2,0.0
forja desmonorada,1,2,3,33.3
fort-Luan,0,1,1,0.0
fraternid4d,0,2,2,0.0
free elite,0,1,1,0.0
frentic of valor,6,11,17,35.3
fuerza farme,0,2,2,0.0
fundacion speed wagon,0,1,1,0.0
ghost soldiers br,0,9,9,0.0
gloomy smile,1,6,7,14.3
gorylovers,1,2,3,33.3
gothyk dragon,0,2,2,0.0
gotitas del saber,0,1,1,0.0
gotta go faster,0,1,1,0.0
grey_knights,1,2,3,33.3
guardians of night,0,1,1,0.0
gudofinhoss,0,2,2,0.0
guerreiros do pve,0,3,3,0.0
gurises,0,2,2,0.0
harry potter sem harry potter,0,1,1,0.0
headbutt,34,36,70,48.6
hermanda del velo,0,1,1,0.0
hermandad del lobo,1,0,1,100.0
hermanos kpos,0,1,1,0.0
hi mane is,1,0,1,100.0
hongchenggongren001,2,0,2,100.0
honor kinghts,2,8,10,20.0
hormigas quimeras,0,6,6,0.0
hwm,1,3,4,25.0
i GAME OVER l,15,42,57,26.3
i The Line i,4,9,13,30.8
i l l u s i o n,0,1,1,0.0
iBurn,14,30,44,31.8
iCore,4,8,12,33.3
iFLAME,3,19,22,13.6
iFamilyALENDA,1,6,7,14.3
iTunes,0,13,13,0.0
iVoid,62,74,136,45.6
ikkiguild,0,3,3,0.0
il paramo,0,1,1,0.0
ilCALAKMULli,1,0,1,100.0
imperio de la orden sostenible,1,6,7,14.3
impitoyables,1,4,5,20.0
inmortales_xxx,0,4,4,0.0
insolated,0,4,4,0.0
ira del legado,1,1,2,50.0
irmandade Assassina,0,1,1,0.0
israelalmendras,1,1,2,50.0
jabali del caos,6,30,36,16.7
juilinege777,0,2,2,0.0
junta revolucionria de Theford,0,2,2,0.0
kAMIKAZES 13,0,1,1,0.0
kako21,22,16,38,57.9
kami kakushi,0,3,3,0.0
kamikase527,0,2,2,0.0
kanedase,0,2,2,0.0
kastoria,0,3,3,0.0
kateghatt,0,1,1,0.0
kill kings pro max,0,1,1,0.0
killers titans,0,1,1,0.0
king Criynsom,3,1,4,75.0
kingdom of sword,0,2,2,0.0
klefedroniarze,1,6,7,14.3
knights bl00d,1,1,2,50.0
knull-s,0,2,2,0.0
komPayasos,2,6,8,25.0
kubo-sama,0,2,2,0.0
kurosh hunters,0,1,1,0.0
l Band of the Hawk l,0,1,1,0.0
l E-V-O-L-U-T-I-O-N l,1,1,2,50.0
l ESCALATION FASST l,1,2,3,33.3
l FALSO POSITIVO l,2,3,5,40.0
l G 0 d a z y z Z l,0,4,4,0.0
l GREMORY l,0,4,4,0.0
