Guild,win,loss,Total,Winrate (%)
BR Justiceiros,0,1,1,0.0
BRAZZUKA,1,15,16,6.2
BRIDFOBOS,0,2,2,0.0
BRIGADA BALROG,0,1,1,0.0
BRKS89,0,1,1,0.0
BRONCOLI,0,1,1,0.0
BROTHER AND FRIENDS,0,1,1,0.0
BROTHERS OF DESTINY,5,6,11,45.5
BROTHERS THILL DEATH,5,12,17,29.4
BRZK,25,75,100,25.0
BUSCA CAMARAS,1,11,12,8.3
BWNA,0,1,1,0.0
BZL BRAZIL,2,1,3,66.7
B_L_A_C_K,47,18,65,72.3
Bagheera,1,1,2,50.0
Bakulpentol,0,1,1,0.0
Balaque,0,2,2,0.0
Balcanic Al Fallo,0,2,2,0.0
Banana Republicc,1,3,4,25.0
Banckson,0,1,1,0.0
Banda de Bandidos,3,7,10,30.0
Banda del lobo negro,1,2,3,33.3
Bandana Brothers,7,10,17,41.2
Banddle City,50,76,126,39.7
Bandidos de caerleon,2,2,4,50.0
Bandit Kill,37,4,41,90.2
Bandit Lords,41,76,117,35.0
Bando_do_Falcao,0,1,1,0.0
Bandy2,0,5,5,0.0
Banguardia De Moria,0,4,4,0.0
Baofengyu,122,157,279,43.7
Bar 70,0,1,1,0.0
Bar D Fia,1,5,6,16.7
Baraz-gund,0,4,4,0.0
Barbaros Da Neve,0,3,3,0.0
Barclass,0,1,1,0.0
Barhenz,0,1,1,0.0
Barkirras,0,1,1,0.0
BaronSamedi,1,13,14,7.1
Barquito pesquero,0,1,1,0.0
Bastardos del Titan,1,7,8,12.5
Bastardos_Sin_Gloria,6,8,14,42.9
BastionWar,2,6,8,25.0
Bataciubiti,1,0,1,100.0
Battle Rush,14,7,21,66.7
BattleToadz,2,1,3,66.7
Battlewise,3,11,14,21.4
Batutinhas,1,2,3,33.3
Be Careful,101,95,196,51.5
Be Silenced,66,71,137,48.2
BearLiddle,17,23,40,42.5
Bears and Maces,18,22,40,45.0
Beary Tales,1,1,2,50.0
Beast Blood,1,0,1,100.0
Beef Stewar,10,24,34,29.4
Beer Barrel,1,5,6,16.7
BeerSquad,32,44,76,42.1
Belfast,0,1,1,0.0
Bellatores Sacrae Irae,0,3,3,0.0
Bellatrixian,0,1,1,0.0
Belligerent Bastions,0,1,1,0.0
Bellum Sacrum,0,4,4,0.0
BenchWarmers,1,1,2,50.0
Bencheados,0,2,2,0.0
Benevolent Kool Aid,60,34,94,63.8
BestFriends,2,9,11,18.2
Beverly Plaza,1,6,7,14.3
Beware of Killers,2,3,5,40.0
Biejas Bien Warzone,0,2,2,0.0
Bienvenido a Yharnhia,0,2,2,0.0
Big Brawl Clap,0,1,1,0.0
Big Rooster,3,1,4,75.0
Big familly,0,1,1,0.0
Bims revenge,0,1,1,0.0
Birds Are Fake,0,7,7,0.0
Birds and Feathers,4,2,6,66.7
BitcoinChill,1,0,1,100.0
Bizonte,1,2,3,33.3
Bl4ck End,1,4,5,20.0
Black 0rder,0,1,1,0.0
Black Aura,3,51,54,5.6
Black Bullhs,0,1,1,0.0
Black Clov3r,0,2,2,0.0
Black Dragon Aeon,80,127,207,38.6
Black Dragons Order,0,1,1,0.0
Black Feathers,0,3,3,0.0
Black Lotus Magic,0,1,1,0.0
Black MAMBAAA,0,2,2,0.0
Black Mage Arrow,1,0,1,100.0
Black Martlock 1,17,42,59,28.8
Black Orden BR,3,4,7,42.9
Black Push,0,1,1,0.0
Black Reach,0,1,1,0.0
Black Rose Creed,44,50,94,46.8
Black St0nes,6,26,32,18.8
Black Tribe,0,1,1,0.0
Black Ursa,45,89,134,33.6
Black Veil Order,0,4,4,0.0
Black Water Group,0,1,1,0.0
Black spring,2,4,6,33.3
Black-Oath,21,45,66,31.8
Black-Vortex,1,4,5,20.0
BlackSm0ke,244,153,397,61.5
BlackSunZenith,0,3,3,0.0
BlackW0rld,9,12,21,42.9
BlackWOLFhunters,0,6,6,0.0
BlackWolf1,3,14,17,17.6
Blackclaw Empire,0,3,3,0.0
Blackk Shadoww,1,7,8,12.5
Blacklist -AO,0,1,1,0.0
Blackstatic,0,1,1,0.0
Blade 0f Justice,0,4,4,0.0
Blades of Avalon,27,41,68,39.7
BlakendWord,0,2,2,0.0
Bleeding Apes,5,5,10,50.0
Blend S,1,0,1,100.0
Blind Old Man,1,0,1,100.0
Bloco,1,1,2,50.0
Bloco de Mula,0,1,1,0.0
Blodfang,42,93,135,31.1
Blood Brotherhod,2,5,7,28.6
Blood Drinkers,0,1,1,0.0
Blood Path,1,0,1,100.0
Blood Ronins,0,1,1,0.0
Blood Wolf Team,15,26,41,36.6
Blood and Ashes,2,5,7,28.6
Blood-LusT,2,7,9,22.2
Blood-_-Ravens,20,13,33,60.6
BloodBasket,1,2,3,33.3
BloodDynasty,0,8,8,0.0
BloodShadow Reign,0,2,2,0.0
BloodVanguard,0,1,1,0.0
Bloodbound Titans,1,0,1,100.0
Blue Army,0,1,1,0.0
Blue LabeI,73,83,156,46.8
Blue Light Guardians,1,0,1,100.0
Blueberry Poachers,1,7,8,12.5
Bobos,0,1,1,0.0
Boca Scan,1,5,6,16.7
Boi Feliz,1,0,1,100.0
BoiCetha,1,1,2,50.0
Bold Intent,4,11,15,26.7
Bomb Down,2,10,12,16.7
BombSS,71,52,123,57.7
Bonde do MELEKA,0,4,4,0.0
Bonde_dos_Coletores,2,0,2,100.0
Booty Boppers,22,42,64,34.4
Border Patrol Fort Sterling,1,2,3,33.3
Born To D1e,21,63,84,25.0
Boyz N The Gank fort,0,1,1,0.0
Bractwo Mroku 2021,1,1,2,50.0
Brain not Found,7,12,19,36.8
Brasa flamejante,0,1,1,0.0
Brasil Wars,1,5,6,16.7
Brasil imperio,6,11,17,35.3
Bratjas,1,13,14,7.1
Bread Addicts,0,1,1,0.0
Breathin,15,12,27,55.6
Bridge To HeLL,15,29,44,34.1
Bridgewatch 137,0,6,6,0.0
Bridgewatch United NA,1,2,3,33.3
Brigada Fantazma,1,3,4,25.0
BrigadaFantasma,0,2,2,0.0
Bro13,1,2,3,33.3
Broken Ravens Mart,2,0,2,100.0
Brokenhorn,0,1,1,0.0
Brotherhood Fallen Order,0,11,11,0.0
Brothers of Shadows,0,2,2,0.0
Brownies Catolicos,33,24,57,57.9
Broxada,0,1,1,0.0
Bruniche,0,1,1,0.0
Bruxentopia,1,0,1,100.0
Brx1,1,0,1,100.0
Bryllanos,33,68,101,32.7
Bu11s,2,3,5,40.0
BuShi-Dos,0,4,4,0.0
Buckfutter Strip Mining Co,0,1,1,0.0
Bufonia,0,2,2,0.0
Bugs Gold,1,0,1,100.0
Buitres del Caos,0,5,5,0.0
Bukele City,0,1,1,0.0
Bullskull,0,9,9,0.0
Buxa Clube,9,21,30,30.0
C 4,3,4,7,42.9
