Guild,win,loss,Total,Winrate (%)
B A N G,146,97,243,60.1
B E R S E R K R,4,8,12,33.3
B I R A K T I M,2,1,3,66.7
B L A C K R O C K,1,0,1,100.0
B L A S P H E M O U S,0,3,3,0.0
B O M B E R M A N,1,1,2,50.0
B O N K,6,5,11,54.5
B69 Team,0,5,5,0.0
BACKSTAB CO,71,176,247,28.7
BAD COUNTRY,0,1,1,0.0
BANDIT GROM,2,0,2,100.0
BANE,13,29,42,31.0
BARADISE,1,0,1,100.0
BARBARLAR,30,28,58,51.7
BAROSANI,0,7,7,0.0
BATUTIKI,15,26,41,36.6
BD Balkan,2,2,4,50.0
BDSM EROTICA,0,3,3,0.0
BDU,72,171,243,29.6
BEHIND YOU,1,5,6,16.7
BENGEL,0,3,3,0.0
BENZBIBA,2,1,3,66.7
BEPCTAK,2,5,7,28.6
BERMUD,10,22,32,31.2
BERNSTEIN,0,1,1,0.0
BERSERKION ACADEMY,5,38,43,11.6
BERUANG MADU,3,1,4,75.0
BES,2,12,14,14.3
BESDAR1,2,5,7,28.6
BEYOND ETERNITY,4,10,14,28.6
BEZDNA BOMJEY,0,2,2,0.0
BGFR,7,5,12,58.3
BHASHNIKI,5,10,15,33.3
BHC for War,1,4,5,20.0
BIBA-BOBA,34,4,38,89.5
BICHUGANbI,0,1,1,0.0
BIG FRESH MEAT,0,5,5,0.0
BIGDADDY,20,26,46,43.5
BIRTENGRII,44,79,123,35.8
BITMRAZEI,0,1,1,0.0
BIackBerry,2,4,6,33.3
BLACK HAND-ARMY,1,2,3,33.3
BLACK REQUIEM,0,2,2,0.0
BLACK S1DE,1,33,34,2.9
BLACK SUMMER,1,9,10,10.0
BLACK TREE PUB,0,1,1,0.0
BLACK-BOAR,18,58,76,23.7
BLACK-TIE,10,5,15,66.7
BLADE2FACE,10,42,52,19.2
BLAZERB,0,1,1,0.0
BLIS,1,3,4,25.0
BLOOD AND BLOOD FOR GOD,0,2,2,0.0
BLOODY BOMB,1,7,8,12.5
BLYAT STORM,23,48,71,32.4
BMP,0,4,4,0.0
BOAR CLUB,0,5,5,0.0
BOBDOG,1,0,1,100.0
BOER WARR,0,4,4,0.0
BOGDANSSILVER,0,1,1,0.0
BOMBERMAN,120,118,238,50.4
BOMJ,0,2,2,0.0
BOO,1,4,5,20.0
BOOLZ,1,0,1,100.0
BOSPHOR,4,16,20,20.0
BOZKURT BEYLIGI,0,2,2,0.0
BRAHMAN tokyo,0,1,1,0.0
BRATLAND,0,3,3,0.0
BRATVANAZABIVE228,3,3,6,50.0
BRO Squad,0,1,1,0.0
BRODYAGI,0,1,1,0.0
BRONANS,0,2,2,0.0
BROTHERHOOD-OF-BLOOD,11,33,44,25.0
BRRRRRRR,17,10,27,63.0
BSM,0,3,3,0.0
BTBF,8,20,28,28.6
BTS,0,1,1,0.0
BUMN,0,1,1,0.0
BUSTER TEAM 2,1,1,2,50.0
BYE,2,3,5,40.0
B_E_A_R_S,5,53,58,8.6
BaBa TeK,1,9,10,10.0
BabyMamonTS,0,1,1,0.0
Back to Roots,0,1,1,0.0
BaconExpress,0,2,2,0.0
Bad Dog Boys,1,0,1,100.0
Bad Ending,2,1,3,66.7
BadEnd,0,1,1,0.0
BadgirlS,0,2,2,0.0
BagEnd,0,5,5,0.0
Bah Asoy,0,2,2,0.0
Bail Bondsmen,0,2,2,0.0
Balakovo Best,0,1,1,0.0
Balders,0,2,2,0.0
Balgaskiy perchik,1,0,1,100.0
Balkan Legion,37,84,121,30.6
BanGlobal,0,1,1,0.0
Band of the Hawk,9,5,14,64.3
BanderShtat,31,94,125,24.8
Bandit Bashers,2,2,4,50.0
Bandit Country,1,1,2,50.0
Bandit of Bandits,0,1,1,0.0
Bandits,83,287,370,22.4
Bandits New Era,0,1,1,0.0
Banici,0,2,2,0.0
Barabi,1,4,5,20.0
Barbarians,1,3,4,25.0
Barbarians from Russia,5,8,13,38.5
Bardzo Mili Wieniacyii,0,1,1,0.0
Bare Minimum Bandits,1,2,3,33.3
BarrakudAss,0,1,1,0.0
Basata,0,2,2,0.0
Bashkortostan,0,1,1,0.0
Bastard,0,3,3,0.0
Bastards in Hell,0,2,2,0.0
BattleStar Galactica,62,82,144,43.1
Batu hejO,1,5,6,16.7
BeBeBus,11,44,55,20.0
BeStTrAdErS,0,2,2,0.0
Bear Brand,0,3,3,0.0
Bear-Slayers,2,2,4,50.0
BearLove,0,5,5,0.0
Bears Beer,1,4,5,20.0
Beek1perS,5,0,5,100.0
Beer Company,1,2,3,33.3
Beer Lovere Club,2,25,27,7.4
Being as an ocean,14,49,63,22.2
BekaKrew,0,2,2,0.0
Bellatores,0,1,1,0.0
