Guild,win,loss,Total,Winrate (%)
Big Paws,1,5,6,16.7
BigBLOCKCok,0,1,1,0.0
BigBeuteuOuRien,0,3,3,0.0
Billi,0,1,1,0.0
Billionaires,1,2,3,33.3
Bingchilling,22,6,28,78.6
Birbs and Kittens,1,3,4,25.0
Birileri,1,0,1,100.0
Bitcoin-BTC,0,1,1,0.0
Bitfrost Logistics,0,2,2,0.0
Bivnoi_ad,2,7,9,22.2
Black Army,0,1,1,0.0
Black Banner,0,2,2,0.0
Black Cocks Brotherhood,0,1,1,0.0
Black Crusade,0,1,1,0.0
Black Last,0,2,2,0.0
Black Legion,66,78,144,45.8
Black Mask,0,13,13,0.0
Black Sentinels,75,124,199,37.7
Black Sheeps,18,42,60,30.0
Black Ship,0,2,2,0.0
Black Sky,10,44,54,18.5
Black Sword,2,1,3,66.7
Black Team,0,1,1,0.0
Black Tigers,0,1,1,0.0
Black Tunnel,0,4,4,0.0
Black Unit,2,4,6,33.3
Black Vault,0,2,2,0.0
Black Zone Enjoyer,0,2,2,0.0
Black-Lotus,1,1,2,50.0
Black-Zone,0,3,3,0.0
BlackCobra,0,10,10,0.0
BlackDead,0,1,1,0.0
BlackPotters,1,0,1,100.0
BlackRunner,2,2,4,50.0
Black_Boys,0,4,4,0.0
Black_Lions,0,3,3,0.0
Black_Mamba,0,1,1,0.0
Black_line,0,2,2,0.0
Blackorchid,0,26,26,0.0
Blacks Dragons,0,1,1,0.0
Blacksheald,2,0,2,100.0
BladeWorX,2,1,3,66.7
Bladefury,1,0,1,100.0
Blakice,19,11,30,63.3
Blaming You,46,35,81,56.8
BlankSouls,0,5,5,0.0
Blanks,2,5,7,28.6
Blasphemous Cult,6,13,19,31.6
Blattodea Homicida,1,9,10,10.0
Bleobheris,0,1,1,0.0
Blight,0,4,4,0.0
Blight Reapers,3,1,4,75.0
Blitz Krieg,0,1,1,0.0
Blitz blitz,1,5,6,16.7
Bloggot_gild,1,0,1,100.0
BlooD SunrisE,2,4,6,33.3
Blood And Tears,74,73,147,50.3
Blood Crusaders,0,6,6,0.0
Blood Eyes,0,6,6,0.0
Blood Monkey,20,33,53,37.7
Blood Pact,109,90,199,54.8
Blood Stripes,3,7,10,30.0
Blood Takers,0,1,1,0.0
Blood Tea Party,4,2,6,66.7
Blood Wolf,0,2,2,0.0
Blood cloud,1,2,3,33.3
Blood of Asgard,0,1,1,0.0
BloodBorns,0,2,2,0.0
BloodSong,4,3,7,57.1
BloodStriders,4,14,18,22.2
Bloodbound Covenant,1,2,3,33.3
Bloodbound Order,1,2,3,33.3
Bloodjoys,0,3,3,0.0
Bloodreign,1,6,7,14.3
Bloods Legion,27,51,78,34.6
Bloodthorn Blades,2,15,17,11.8
Bloodwatch,0,1,1,0.0
Bloody Destiny,0,11,11,0.0
Bloody Drunkards,0,1,1,0.0
Bloody Gold Hunter,2,24,26,7.7
Bloody Relict,7,38,45,15.6
Bloody_People,0,1,1,0.0
Bloodyy Abyss,4,7,11,36.4
Blue Batch,0,2,2,0.0
Blue Zone Warriors,2,8,10,20.0
BlueDragon,2,1,3,66.7
BlueLock - EgoistProject,0,1,1,0.0
BlueOrcs,1,1,2,50.0
Bne Sambosk,0,2,2,0.0
Bo Gezenler,1,4,5,20.0
Boar Squad,1,3,4,25.0
BoardBeard,0,1,1,0.0
Bobor,1,0,1,100.0
Bocchi the Rock,2,0,2,100.0
Bogovz Reich,0,2,2,0.0
Bogowie Chaosu,0,1,1,0.0
Bohem,81,69,150,54.0
Bollwerk,22,27,49,44.9
Bomb Sekai,1,0,1,100.0
BombarBeer,0,1,1,0.0
Bombiarze,0,1,1,0.0
Bomji Avalona,1,0,1,100.0
BonSaissx,55,139,194,28.4
Bonebenders,2,14,16,12.5
Border Control,2,0,2,100.0
Born Gamers,0,2,2,0.0
Borskuk Cartel,1,0,1,100.0
Boton1avalon,0,1,1,0.0
Botting Around,1,5,6,16.7
Bottom,1,15,16,6.2
Bounty Squad,1,2,3,33.3
Boyarik000,0,1,1,0.0
Boys dont cry,76,21,97,78.4
Bozkurt Legacy,0,1,1,0.0
Bozo Style,1,4,5,20.0
Bractwo Zapomnienia,0,2,2,0.0
Brainfucks,5,10,15,33.3
Brainrot squad,1,3,4,25.0
Brayan,2,1,3,66.7
Brazil Avalon Guild,9,14,23,39.1
Bridgewatch,6,23,29,20.7
Bridgewatch Defenders,3,19,22,13.6
Bridgewatch Elite,2,0,2,100.0
Brise-Mondes,1,8,9,11.1
Brixton,1,0,1,100.0
BroKssar,2,1,3,66.7
Broke Ass Bitches PL,0,3,3,0.0
BrosBeforeHoes,0,1,1,0.0
Brotherhood Of Lana,1,0,1,100.0
Brotherhood of Freedom,3,24,27,11.1
BrummyHook,0,1,1,0.0
Brynhild,1,2,3,33.3
BsB,0,5,5,0.0
Bubki,0,1,1,0.0
BuhiDiHulow,0,5,5,0.0
Built Different,0,1,1,0.0
BulBash,0,1,1,0.0
Bulbasaur Band,3,3,6,50.0
Bulibanda,4,10,14,28.6
Bulka Death,0,1,1,0.0
Burger k1ng,0,1,1,0.0
Burial,3,0,3,100.0
Burne Aoute,0,2,2,0.0
Burrow,0,2,2,0.0
Burzyny,166,137,303,54.8
Bushido no Kage,1,1,2,50.0
Butaneros Avalonicos,1,1,2,50.0
Buynie Golovy,3,6,9,33.3
Bybonna9 4yma,4,11,15,26.7
Bylock,0,3,3,0.0
C A S P E R,0,1,1,0.0
C K A M,30,15,45,66.7
C L A D E S,1,2,3,33.3
C L U T C H,0,1,1,0.0
C O S M O S,0,1,1,0.0
C R O N O S,1,0,1,100.0
C Y R U S,0,2,2,0.0
C11H15NO,0,1,1,0.0
C2H50H,20,29,49,40.8
CABALLERIA NOCTURNA,1,0,1,100.0
CABOOM,5,4,9,55.6
CAC,1,0,1,100.0
CAGANISSO,3,1,4,75.0
CALISTHENICS,0,1,1,0.0
CALLIDUS,3,3,6,50.0
CANDY SHOP,5,12,17,29.4
CAPELOOOO,0,1,1,0.0
CATCH ME,3,0,3,100.0
CBALOON,1,0,1,100.0
CCCC,0,2,2,0.0
CEBEP-BOCTOK,0,1,1,0.0
CEM9_3EBCA,2,21,23,8.7
CEUTA,2,25,27,7.4
CH0P CH0P,4,3,7,57.1
CH1LL GU1LD,0,5,5,0.0
CHAMA,10,13,23,43.5
CHAPAPA,1,1,2,50.0
CHEAP CRAFT BRIDGEWATCH,0,1,1,0.0
CHEAP CRAFT FORT STERLING,1,4,5,20.0
CHEAP CRAFT LYMHURST,0,3,3,0.0
CHILDER OF THE SUN,1,12,13,7.7
CHILL ROOM,17,9,26,65.4
CHILLBION,0,7,7,0.0
CHINOS FARMERS,0,1,1,0.0
CHITINCI,0,2,2,0.0
CHOK BLOK ROCK,1,8,9,11.1
CHOPI,2,3,5,40.0
