Guild,Kills,Deaths,Fame
Interrupted Signal,241,388,26022412
Kchados Por La Leche,240,405,71527286
I N S O L A T I O N,240,273,51517672
JAMAICA,240,261,34187044
Shelterd,240,249,17235347
Atrasa Lado,239,275,57380709
C4 Gang For Life,238,114,32319563
Carry 0n,236,197,97501805
TheHordeGM,236,361,26384250
Honey Fingers,235,293,46340939
X-PANZE,233,243,38183207
Staatsfeinde,233,445,37937099
Albion Mobile Guild,233,451,24099909
Les hommes de Sparte,232,339,18313192
L I O N H E A R T,231,288,17476571
W A I T I N G,229,243,80617204
Drakonty ligea,229,228,20338257
CEIFADORES-DA-ALVORADA,229,234,15808858
Dismount And Death,228,252,22263898
BattleToadz,228,59,5093819
CALCINHA DE RENDA,227,389,48692914
Velo Carmesi,227,392,29170224
AlcoHolicoS-Avalon1anos,226,145,48289605
MAZACRE,226,351,47439833
DEX-terity,226,207,17189805
HeIIheim,224,106,23516863
WE COOKED,224,272,16873845
RADlANT,223,279,107118947
Tres0sitos,223,141,50568455
S-N-G,222,256,13334565
Warlocks Legion,221,246,82344124
Escoria Rebelde,221,308,60612426
Mas Respeto,221,241,40685572
UNOS,221,283,29194763
HELLS KITCHEEN,221,162,7674200
MEDIEVAL SHADOWS,220,344,39842916
Y A K A U Z A,220,147,30755313
El Tren del Hielo,220,369,22228087
Statu quo,219,132,91661404
Dark FuneraI,219,351,48287670
TADALA e BALA,219,156,29593831
Los Elegidos Por Jesus,219,147,17215376
KillSquad,218,298,20612065
MAS57,218,317,15354413
WhiteLotus,218,178,11600738
LOS COMPADR3S,217,256,17466346
NYAC,216,401,17644976
ABYSSUS X,215,238,70101051
The Dungeon Of The Black Compa,215,307,14362049
EXC3LSIOR,214,526,36447057
Amigos do Blackjack,214,320,22986043
HAWKEYE _TF,213,372,49306407
Quinta Ordem,213,393,15508951
AIea iacta est,212,199,38306592
Symmetrie,212,164,18195922
Fernelius,212,342,16885399
G A N T Z,211,120,39938364
LEGION CUY,211,264,32551226
Fallen Sacrament,211,435,26030822
Last Dead,211,503,21593744
RedGlitchs,211,121,18154225
Finis terra,210,468,31111875
TALLADOS,210,176,23161772
Happy Hour,210,187,15612604
VITERIUM,210,336,13091362
Roofroof,209,81,83165026
SAT1VA,209,469,37494173
Toxic Shock,209,223,35661871
No Straight Roads,205,276,40775257
SIN COSTA,205,182,9940917
Los Perilleros,203,394,23214014
La RevelionLx,203,164,17967194
lNVICTUM,202,127,43557438
NightHunterss,202,182,38040206
EminenceOfShadows,201,378,17170964
Mortem Imperium,201,66,12897134
S A G A,200,318,28792778
ISpectreI,199,246,53362360
G A M,199,231,24585950
Hunters - of - Glory,197,393,52762204
Mi Banana en Pijama,197,414,36350007
ENVIADOS,197,124,13671572
Let Me Gamble,196,178,64061865
L 0 B O S,196,308,29755509
ELITE MONKEYS,196,232,22707753
YronSide,196,448,13450947
TEAM Of DEATH,195,359,50282205
Forasteros del Ocaso,195,185,19780135
AssassinsGreed,195,124,15078607
LOS MATROSOS,195,150,9174406
AFK 444,195,219,7818797
Pentachill,194,174,69208460
RUNAAN,194,100,44551349
X-Noxius-X,193,221,16021774
OUKE,192,96,42488002
D O L L Y,191,606,63965490
XEQUE-MATTE,191,376,16788775
Hollow Specs,190,203,22756057
H-E-L-H-E-I-M,189,207,50957097
Pretores,189,568,35980251
MANIC0MI0,188,275,51512540
N E V A D A,188,481,48248488
INVICTOS VORAZES,188,405,27419398
Rohirrim Company,188,144,22364313
R - I - S - E,188,240,15819562
A R 1 S E,186,316,31088809
AvaCore,186,227,24482910
SOMBRA-DA-MORTE,186,419,20117416
We Bare-Bears,186,143,17845777
CLUB - S P A C E,186,146,14121311
PEUGEOT 206,185,117,88807928
Bears and Maces,185,105,9617643
The Wolf Company,184,370,58370191
Culto del Kraken,184,346,53529763
WinterLat,184,390,43153340
Shadow garden NG,184,93,32636769
ACM1PTX2,184,62,28732909
The Bacons,184,255,19647182
My-Bad,183,177,18417301
Nena y Los 77 Petes,183,211,14186467
Raices Eternas,182,319,19306719
F R A T E R N I T Y,181,186,18899584
VeryDificul,181,214,16702861
I N D O M I N U S,181,137,9067501
Sertralina,180,371,53243173
GREMITIUS,180,443,28330120
Pantera Shell Capital,179,70,4601682
Droolers,178,114,40224854
Hijos de la Anarquia,178,111,22160501
SuperSonic LegendS,178,152,18608656
Ice Fort,178,126,14298091
CRUS4DERS,177,125,52804585
Albion Nexus,177,85,26901766
Trolleando en Negra,177,33,18899542
Romanos Invasores,177,157,14400901
Insanos Express,177,429,9798672
