Player,Guild,Wins,Losses,Total,Winrate_%
colaman,Woof Woof,46,69,115,40.0
Scripter,s t e p b a c k,46,74,120,38.33
Kristalmoon,Heralds of Valhalla,45,13,58,77.59
K1ngVersik22,Papaoutai,45,16,61,73.77
alx,Y O I N K,45,18,63,71.43
TheSlaves,Heralds of Valhalla,45,21,66,68.18
sobusPDW,Burzyny,45,22,67,67.16
Koushi,S I X,45,24,69,65.22
CoreyDavo,Contingent,45,25,70,64.29
Robbie59,Contingent,45,25,70,64.29
Jefftel,Contingent,45,26,71,63.38
PenguinDunDeeTV,Y O I N K,45,27,72,62.5
Rogeruu,Y O I N K,45,27,72,62.5
zcparty,S I X,45,30,75,60.0
VVBangBangVV,Saggin,45,32,77,58.44
Ztris,Skoggangr,45,34,79,56.96
weakFOX,Purity,45,34,79,56.96
USSOPPAI,Contingent,45,36,81,55.56
anotherapathy,Heralds of Valhalla,45,36,81,55.56
Ark1a,A K U M A,45,38,83,54.22
Eggida,S I X,45,38,83,54.22
STICAZZZI,Panico,45,38,83,54.22
Chiti,A K U M A,45,39,84,53.57
di9yy,Right Side,45,44,89,50.56
LuckyLuSi,The Jackals,45,49,94,47.87
mawcoo,Skoggangr,45,50,95,47.37
Tride,Simia,45,52,97,46.39
B3qu,Pyramid Scheme,45,53,98,45.92
Twiixts,Pyramid Scheme,45,53,98,45.92
deinWecker,Syntax,45,53,98,45.92
"4,94E+02",Woof Woof,45,54,99,45.45
KingpinWillem,Ascension,45,73,118,38.14
MIZZZUKIII,XXX,45,74,119,37.82
Anky,XXX,45,77,122,36.89
Levv,Ascension,45,81,126,35.71
Welpek,Heralds of Valhalla,44,13,57,77.19
BTWpsychopath,Papaoutai,44,18,62,70.97
Lyngvir,Y O I N K,44,24,68,64.71
"4,09E+03",Heralds of Valhalla,44,26,70,62.86
Quasart,A K U M A,44,27,71,61.97
verypersen,Y O I N K,44,27,71,61.97
Drikk,S I X,44,28,72,61.11
Socks69,Cow field,44,28,72,61.11
D4arkDM,Road to Exile,44,30,74,59.46
Faragnir,S I X,44,32,76,57.89
DoraEsploradora,Skoggangr,44,34,78,56.41
FaustujAz,Contingent,44,35,79,55.7
Shaclista,Panico,44,35,79,55.7
asunaweeb,Contingent,44,35,79,55.7
Grossstadtluft,Pyramid Scheme,44,36,80,55.0
Yusukou,ANY FIGHT,44,36,80,55.0
BitRain,Savants,44,37,81,54.32
LeC4enBackPack,Pipootam,44,39,83,53.01
Adamator45,Pyramid Scheme,44,42,86,51.16
Alessio24,Saggin,44,42,86,51.16
Minipredzio,Polska Gildia,44,42,86,51.16
PiotrSheff,Woof Woof,44,42,86,51.16
Shterben,Right Side,44,42,86,51.16
UrekM,Woof Woof,44,45,89,49.44
Wynn,Skoggangr,44,48,92,47.83
Alybaba4,Critical,44,50,94,46.81
Daenara,Woof Woof,44,50,94,46.81
theotfys,Pyramid Scheme,44,56,100,44.0
Despot7705,Skoggangr,44,57,101,43.56
VigoEmD,Skoggangr,44,59,103,42.72
Returti,Squirtle Squad,44,61,105,41.9
LadyWaffIe,Squirtle Squad,44,65,109,40.37
Milky89,Woof Woof,44,80,124,35.48
Moukgrand,Heralds of Valhalla,43,18,61,70.49
EmptY,Heralds of Valhalla,43,20,63,68.25
Xascyyy,Heralds of Valhalla,43,20,63,68.25
Bajonix,Y O I N K,43,22,65,66.15
YuriPro,Savants,43,24,67,64.18
SharonH,S I X,43,25,68,63.24
AnaK,Critical,43,26,69,62.32
MagicMike,A K U M A,43,28,71,60.56
Borgore,Scourge of GOD,43,29,72,59.72
Flemse,Road to Exile,43,29,72,59.72
JiGaL0,Heralds of Valhalla,43,29,72,59.72
MeeDoOo,Contingent,43,30,73,58.9
Bird,Skoggangr,43,32,75,57.33
Boromir01,Saggin,43,32,75,57.33
Diababo,Contingent,43,32,75,57.33
JohnnySinsLeVrai,0N A FAIM,43,32,75,57.33
silencewitherr,Syntax,43,32,75,57.33
GeneralTron,Saggin,43,35,78,55.13
VdeVinagreta,A K U M A,43,35,78,55.13
